,Month,Rating,Type,Device Type,Country,Subscribers,Total Revenue
2016,Sep,4,Series,Tablet,USA,73981069,223647866.3608567
2017,Jun,4,Series,Tablet,France,75998828,225364840.4628735
2018,Aug,5,Series,Mobile,Japan,77551343,223357809.64739233
2019,Oct,4,Series,Mobile,Japan,71182221,234261696.6787127
2020,Aug,3,Series,Smart Tv,India,79372316,231081361.48327363
2021,Jun,2,Movie,Tablet,Canada,77497988,235998688.57893825
2022,Sep,3,Movie,Smart Tv,India,78724331,226594961.84907314
2023,Jan,1,Movie,Tablet,UK,76055649,235534301.86325878
2024,Jun,3,Series,Mobile,Japan,74104263,224067686.33766532
2025,Feb,1,Movie,Tablet,UK,72758368,235296390.4345621
2026,Oct,1,Series,Smart Tv,USA,78409237,228303579.20359042
2027,Nov,1,Movie,Mobile,India,73455173,221094189.05008858
2028,Aug,5,Movie,Tablet,Canada,70918116,239591104.179268
2029,Jan,4,Movie,Tablet,India,77789208,236008476.53014332
2030,Jul,3,Movie,Tablet,Canada,70975255,231586958.04496062
2031,Apr,2,Movie,Smart Tv,South Korea,71169738,228964510.55076045
2032,Nov,4,Tv Show,Tablet,USA,79080156,225560187.45578915
2033,Mar,4,Series,Tablet,South Korea,78150117,230393584.8964138
2034,Jul,5,Series,Mobile,Japan,75917790,228937966.794014
2035,May,3,Movie,Smart Tv,Australia,79690231,223233407.55738488
2036,May,5,Movie,Mobile,France,74302241,236592163.36233586
2037,Jun,2,Movie,Smart Tv,Japan,77732243,223165203.255765
2038,May,5,Tv Show,Mobile,UK,79920225,229338325.56047383
2039,Oct,1,Tv Show,Smart Tv,India,76150448,230109147.6268922
2040,Apr,3,Series,Mobile,Australia,79863447,224933254.10858127
2041,Jun,5,Movie,Smart Tv,Australia,72995026,224018453.8178124
2042,Nov,1,Movie,Tablet,Australia,75685596,225936158.9659233
2043,Jun,1,Tv Show,Tablet,Australia,74525017,235490171.68982154
2044,Feb,4,Tv Show,Mobile,Japan,76985337,234926205.76386696
2045,Feb,1,Tv Show,Smart Tv,USA,75219786,236241422.7321446
2046,Apr,5,Movie,Tablet,Japan,74615836,231259189.5416037
2047,Jan,5,Series,Tablet,South Korea,73119502,237187021.01761118
2048,Oct,2,Tv Show,Mobile,USA,71414316,226776985.2561933
2049,Jun,2,Series,Mobile,India,74506876,230393686.2907545
2050,May,1,Tv Show,Tablet,South Korea,79626954,227078296.37939784
2051,Dec,3,Movie,Mobile,South Korea,76392927,234724068.97157943
2052,Nov,5,Movie,Smart Tv,France,76676809,225062427.06748426
2053,Nov,5,Tv Show,Smart Tv,USA,76567845,236855004.068895
2054,Mar,4,Series,Mobile,France,76034023,222075939.52872583
2055,Jul,2,Tv Show,Mobile,USA,79861547,230140852.3000531
2056,Jun,1,Series,Mobile,Australia,74675171,238204445.56448233
2057,Dec,5,Series,Smart Tv,Brazil,73283531,231779706.76020822
2058,Mar,5,Movie,Tablet,UK,77500115,228677945.2242773
2059,Feb,3,Movie,Smart Tv,India,70516680,237056232.7174699
2060,Jun,1,Series,Tablet,UK,77569041,231696983.05382997
2061,Dec,5,Tv Show,Tablet,India,71341667,228862164.51832896
2062,Sep,2,Tv Show,Smart Tv,Brazil,78437751,223874548.21731687
2063,May,4,Series,Mobile,UK,78575015,232645043.00490886
2064,Sep,4,Series,Smart Tv,India,75890405,233975669.91358188
2065,Feb,2,Tv Show,Tablet,India,74536237,230250486.05848786
2066,Apr,2,Series,Mobile,Canada,73254836,220695988.64076295
2067,Oct,4,Series,Smart Tv,Canada,72377739,237140192.9703395
2068,Jul,2,Tv Show,Smart Tv,South Korea,78979742,234368117.1538783
2069,Jul,1,Series,Smart Tv,USA,74351860,231201179.59600973
2070,Nov,5,Tv Show,Mobile,France,75409601,224645235.84308398
2071,Sep,1,Series,Smart Tv,USA,77859371,221958081.1900483
2072,Feb,4,Movie,Tablet,Canada,75768720,222624736.6359848
2073,Feb,2,Tv Show,Smart Tv,USA,78243470,229011924.75757766
2074,May,3,Movie,Tablet,Germany,75096820,227000893.79076207
2075,Sep,4,Series,Mobile,Australia,71760330,229649486.29972193
2076,Dec,3,Series,Smart Tv,UK,72773206,224887263.82361725
2077,Sep,2,Movie,Tablet,India,74930949,238167702.43230584
2078,Apr,3,Tv Show,Smart Tv,India,72065147,228208633.03202075
2079,Mar,1,Series,Mobile,India,74589916,224667181.34549525
2080,Oct,2,Tv Show,Smart Tv,Brazil,79159649,220712597.99845555
2081,Dec,5,Tv Show,Mobile,France,79090171,232015699.4900636
2082,Oct,3,Movie,Smart Tv,South Korea,78827996,224819973.33460373
2083,Jul,3,Series,Mobile,South Korea,72261110,228414143.5632385
2084,Sep,1,Tv Show,Tablet,Germany,72977657,222730469.03924403
2085,Oct,2,Series,Tablet,USA,71249157,228794259.22328058
2086,Jul,3,Movie,Tablet,France,76698591,234407296.6843011
2087,Feb,5,Series,Smart Tv,Australia,70639506,238446229.26675123
2088,Apr,5,Tv Show,Mobile,USA,73709373,223241131.2758302
2089,Mar,5,Series,Mobile,India,72458903,224867131.65560073
2090,Jul,3,Tv Show,Smart Tv,France,79483525,222369997.5678405
2091,Jul,3,Tv Show,Tablet,Japan,70619138,225078914.62161657
2092,Jun,5,Tv Show,Mobile,France,72876680,234369761.37316436
2093,Oct,5,Tv Show,Smart Tv,Japan,72559314,227416339.27831823
2094,Jan,5,Series,Tablet,Brazil,77303689,239734736.16010547
2095,Nov,4,Movie,Smart Tv,India,75128440,231667048.53374198
2096,Jul,3,Movie,Tablet,Germany,76543742,226020426.09411433
2097,Sep,5,Tv Show,Smart Tv,USA,77581414,222476629.19678792
2098,Apr,1,Tv Show,Smart Tv,Germany,76958826,228436835.43951562
2099,Sep,5,Movie,Smart Tv,Brazil,77869095,238038928.32438177
2100,Apr,1,Movie,Mobile,South Korea,77979683,223593006.99055526
2101,Jun,4,Series,Mobile,Japan,77586564,224558672.18760368
2102,Feb,3,Series,Tablet,UK,78163130,231747283.48316437
2103,Mar,2,Tv Show,Smart Tv,South Korea,70455233,236276846.46011537
2104,Dec,5,Tv Show,Tablet,Australia,73395485,239312482.0878459
2105,Dec,5,Series,Smart Tv,India,76381802,228431514.53361237
2106,Sep,4,Series,Tablet,Australia,70560154,234734553.08968925
2107,Feb,3,Series,Smart Tv,Japan,72608584,220235364.54324356
2108,Jan,1,Movie,Mobile,India,72389868,233816050.27404314
2109,Jul,4,Movie,Mobile,Canada,77967647,234097330.96577227
2110,Nov,1,Movie,Tablet,Brazil,76117914,237925602.6752042
2111,Jul,2,Tv Show,Tablet,South Korea,75584758,229603616.09479204
2112,Dec,5,Series,Mobile,USA,71263837,233631641.22618705
2113,Feb,1,Tv Show,Tablet,South Korea,74234032,225932410.01711386
2114,Oct,3,Tv Show,Mobile,South Korea,74617279,221939652.41219726
2115,Jan,4,Movie,Smart Tv,Canada,74510767,227458629.5743661
2116,Mar,4,Movie,Tablet,USA,79129509,238498966.71730617
2117,Mar,2,Series,Tablet,USA,73556921,237013763.84451148
2118,Sep,3,Tv Show,Tablet,USA,74027591,238892494.13711652
2119,Oct,2,Tv Show,Tablet,South Korea,77106301,239937845.891876
2120,Jan,3,Movie,Smart Tv,India,74322984,239786193.53840175
2121,Sep,3,Movie,Mobile,Canada,73009898,233857459.59991723
2122,Mar,1,Movie,Tablet,Japan,78141008,222941161.36362374
2123,Jul,5,Tv Show,Smart Tv,South Korea,70492196,220285438.0727127
2124,Jun,4,Series,Smart Tv,Australia,79921750,239281617.19761652
2125,Oct,4,Series,Mobile,Japan,78758978,235698508.55340257
2126,Sep,2,Series,Smart Tv,South Korea,79742655,235205910.88581836
2127,Jul,1,Tv Show,Smart Tv,Japan,70242371,235234241.15353104
2128,Jun,5,Tv Show,Mobile,France,79216558,227981016.74430946
2129,Jan,5,Series,Mobile,Japan,77049779,224731907.11062464
2130,Jan,4,Tv Show,Mobile,Brazil,73715798,224542267.30802572
2131,Oct,3,Tv Show,Smart Tv,USA,71629033,231988435.9725658
2132,Jan,4,Tv Show,Smart Tv,UK,72418178,234792503.5924998
2133,Jan,3,Series,Tablet,Japan,75000596,232748210.4190217
2134,Jan,1,Movie,Tablet,UK,77540246,228262408.69575897
2135,Aug,2,Movie,Smart Tv,USA,77208900,229216367.0523346
2136,Aug,3,Movie,Mobile,France,71043806,221935227.12429592
2137,Apr,4,Tv Show,Smart Tv,Japan,75927031,221336292.12918302
2138,Dec,3,Tv Show,Tablet,Brazil,79650634,228005418.31771064
2139,Jul,3,Series,Mobile,USA,72525800,232127724.77418333
2140,Feb,1,Tv Show,Tablet,Germany,72881535,233868518.11092624
2141,Mar,1,Series,Mobile,USA,76395382,228120168.34264547
2142,Feb,1,Movie,Tablet,South Korea,74121003,230429639.46259156
2143,Nov,2,Tv Show,Smart Tv,France,71606441,224824724.0362687
2144,Oct,1,Series,Smart Tv,Brazil,75390831,227537897.47154725
2145,Apr,4,Movie,Mobile,UK,70334939,236894756.8966088
2146,Jul,1,Movie,Smart Tv,UK,76747379,235698230.4151247
2147,Feb,3,Tv Show,Mobile,Germany,75350739,236204848.19396964
2148,Apr,2,Movie,Smart Tv,Canada,78424004,239040492.00301635
2149,May,4,Movie,Mobile,Canada,72051823,230615970.2988554
2150,May,3,Series,Mobile,South Korea,78478369,238964723.80277592
2151,Nov,1,Tv Show,Mobile,UK,75712531,237942103.14814547
2152,Apr,3,Tv Show,Tablet,Australia,79053003,220126017.7393647
2153,Sep,1,Series,Tablet,Brazil,76071758,224955478.0203211
2154,Aug,2,Tv Show,Tablet,Canada,73202808,223921348.8692057
2155,Nov,1,Series,Smart Tv,France,70083700,234770429.1769037
2156,Jul,2,Series,Tablet,India,78648509,231455758.01242685
2157,Apr,1,Series,Smart Tv,Australia,73723016,226306782.33671755
2158,Aug,1,Tv Show,Smart Tv,UK,71842385,224137225.65624282
2159,Jan,2,Series,Mobile,Japan,78525990,238744367.13834673
2160,May,4,Movie,Mobile,Germany,70939408,230407525.50624448
2161,Aug,5,Movie,Mobile,Australia,79092627,239409369.89462516
2162,Jun,5,Series,Tablet,Australia,75292807,235850792.48460147
2163,Sep,2,Movie,Tablet,USA,77241194,235985283.26454887
2164,Sep,1,Tv Show,Tablet,Japan,76081434,236385358.07292432
2165,Aug,5,Tv Show,Smart Tv,France,72000046,236935656.18964827
2166,Nov,3,Series,Mobile,India,75769691,234780729.6765116
2167,Nov,2,Tv Show,Smart Tv,India,79648011,237281744.3263401
2168,Jul,1,Series,Smart Tv,Canada,78251485,233823278.48538184
2169,Feb,5,Series,Smart Tv,France,73595430,223420082.4666144
2170,Dec,1,Movie,Mobile,Germany,79392850,232352183.88320276
2171,Feb,4,Movie,Tablet,France,79490843,232343034.6875974
2172,Oct,3,Tv Show,Smart Tv,USA,71520533,228588011.1332922
2173,Jul,4,Movie,Smart Tv,South Korea,74564210,235548698.74222565
2174,Jun,5,Movie,Tablet,Canada,71800710,236978819.8569501
2175,Oct,4,Tv Show,Tablet,India,72716369,236014703.56187296
2176,Mar,1,Series,Tablet,Australia,74211587,227453308.2307932
2177,Apr,5,Series,Mobile,Australia,70648668,229913147.71631426
2178,Jun,5,Tv Show,Smart Tv,India,71908028,230684295.46753532
2179,Jul,1,Tv Show,Mobile,UK,75673378,224941482.78117082
2180,Apr,2,Tv Show,Smart Tv,France,71351231,233689914.46548766
2181,Mar,4,Tv Show,Tablet,Germany,71742530,229437383.04365978
2182,Aug,4,Movie,Tablet,USA,78819985,232800926.6887802
2183,Nov,3,Series,Tablet,Germany,77944118,231586712.7626871
2184,Jan,1,Tv Show,Mobile,South Korea,73974332,221550639.24599975
2185,Feb,3,Tv Show,Tablet,Germany,73458076,226495501.69593188
2186,Jul,5,Series,Smart Tv,UK,75059575,234750428.49506584
2187,Dec,3,Movie,Tablet,USA,71741900,230784501.91169813
2188,Apr,2,Series,Mobile,South Korea,70802765,220008384.90897283
2189,Feb,4,Series,Tablet,UK,73133938,233890162.54880458
2190,Feb,1,Movie,Smart Tv,India,75511179,229882770.1374514
2191,Apr,1,Movie,Mobile,Japan,70309356,226415626.10408923
2192,Apr,2,Movie,Mobile,Canada,71274864,234554930.9381427
2193,May,1,Series,Tablet,UK,71601442,225800058.89263117
2194,Mar,1,Series,Mobile,Germany,75842120,231877042.73340684
2195,Oct,4,Movie,Smart Tv,USA,72094056,229080875.75796655
2196,Apr,5,Series,Mobile,Canada,73036480,222221483.97795358
2197,May,3,Movie,Smart Tv,Canada,72913815,234110867.44511387
2198,Oct,5,Tv Show,Mobile,Japan,70853328,224665020.6509837
2199,Sep,1,Tv Show,Tablet,USA,73278421,238285237.0519495
2200,Sep,1,Tv Show,Mobile,India,74345950,234644629.62652427
2201,Mar,2,Series,Smart Tv,France,73987696,225001467.5879278
2202,Apr,4,Tv Show,Smart Tv,South Korea,74494953,221924845.58666894
2203,Nov,2,Movie,Tablet,Australia,71584171,229769380.6874836
2204,Oct,3,Tv Show,Tablet,Canada,77294669,223609236.7806261
2205,May,5,Tv Show,Smart Tv,Australia,72942803,239216654.3582075
2206,May,5,Series,Mobile,UK,73969964,228778357.43327084
2207,Mar,2,Tv Show,Smart Tv,USA,77784638,224662344.36031353
2208,Aug,4,Tv Show,Tablet,Japan,70933200,221607531.23317274
2209,Aug,4,Movie,Mobile,Canada,73975473,233805155.32750803
2210,Mar,5,Series,Smart Tv,Australia,77299781,239716669.4355796
2211,Jul,1,Movie,Tablet,India,70985920,231272998.14341372
2212,Apr,2,Tv Show,Smart Tv,Japan,77003645,231528549.84556136
2213,Jan,4,Tv Show,Mobile,South Korea,73223478,230563538.3637716
2214,Mar,4,Movie,Smart Tv,Australia,77944365,229691957.85823074
2215,Jan,1,Tv Show,Smart Tv,India,77919711,230812921.338308
2216,Aug,4,Series,Mobile,Japan,72684853,235358428.21215773
2217,Dec,4,Series,Tablet,Japan,70359852,231147241.1076047
2218,Nov,3,Series,Mobile,UK,78563746,237775942.0562742
2219,Feb,2,Tv Show,Smart Tv,South Korea,74123126,236146944.67236984
2220,Apr,3,Series,Mobile,Brazil,78369371,223787461.39559317
2221,Dec,4,Series,Smart Tv,South Korea,78030084,223265428.5467704
2222,Mar,4,Tv Show,Mobile,Brazil,70454921,236787337.73962086
2223,Dec,3,Movie,Mobile,France,72189957,221041884.50602806
2224,Feb,3,Series,Smart Tv,France,75941495,236838672.66009557
2225,Jul,5,Tv Show,Smart Tv,Japan,78071269,232868676.52686825
2226,Aug,2,Tv Show,Tablet,UK,79827310,220977068.4526312
2227,Jun,3,Series,Mobile,UK,75588735,223673303.93995085
2228,Jan,3,Series,Tablet,Japan,74828028,231822214.5505276
2229,May,1,Movie,Mobile,Germany,78158549,226942742.45296177
2230,Jan,2,Tv Show,Mobile,France,72472040,229397588.1868669
2231,Jun,1,Tv Show,Mobile,India,74089166,234805577.06532753
2232,Jun,5,Movie,Mobile,South Korea,74578766,235019748.61614594
2233,Apr,1,Series,Mobile,Japan,77673657,221142149.43345717
2234,Mar,1,Series,Mobile,USA,72629435,231472926.1999105
2235,Jan,1,Tv Show,Mobile,Germany,76535443,220798041.62674874
2236,Nov,4,Tv Show,Tablet,Japan,78040447,228469404.4160454
2237,Nov,5,Movie,Tablet,India,71255925,224851820.89429092
2238,Jun,3,Tv Show,Smart Tv,Brazil,77100109,220675247.94863865
2239,Sep,4,Movie,Smart Tv,South Korea,70951161,236823096.6574143
2240,Jan,1,Series,Tablet,Germany,76381913,221742960.15227884
2241,Nov,4,Tv Show,Smart Tv,India,71508191,223251433.01303804
2242,Jul,2,Tv Show,Mobile,Australia,72399716,235881446.20082557
2243,Jul,4,Movie,Smart Tv,UK,78287767,237224866.75918227
2244,Oct,3,Tv Show,Tablet,Brazil,73832351,229662614.288477
2245,Nov,1,Tv Show,Mobile,India,78157398,231683172.61075625
2246,Jan,4,Tv Show,Smart Tv,USA,75515869,229071077.01309672
2247,Jun,2,Tv Show,Smart Tv,Australia,73841933,230872470.59156385
2248,Aug,5,Movie,Tablet,France,73132676,236048553.40002495
2249,Jun,4,Movie,Smart Tv,UK,76472518,238000751.5625429
2250,Mar,1,Movie,Mobile,Brazil,73866265,220425303.72282958
2251,Jul,2,Movie,Tablet,France,76734894,224392905.74605572
2252,Apr,3,Tv Show,Smart Tv,Japan,77885675,223537954.70435265
2253,Apr,3,Tv Show,Smart Tv,Canada,71897462,224022602.74241287
2254,Apr,4,Series,Smart Tv,UK,71288282,230302152.94967467
2255,May,5,Movie,Smart Tv,Japan,73339165,239045337.19073287
2256,Oct,2,Series,Tablet,Brazil,79035147,236976011.1256624
2257,Jun,3,Series,Mobile,Australia,74472934,226395565.09463322
2258,Dec,4,Series,Mobile,USA,70521271,230890817.48051926
2259,Nov,1,Tv Show,Smart Tv,Canada,76344731,221060418.20630452
2260,May,3,Tv Show,Mobile,Canada,72411467,231314438.77220806
2261,Oct,4,Movie,Tablet,UK,79145592,222317044.1489661
2262,Jan,1,Tv Show,Mobile,Brazil,73719031,230892471.11506587
2263,Oct,3,Tv Show,Mobile,Australia,77615742,224745566.82250378
2264,Jul,5,Series,Mobile,France,72423712,239615445.2718881
2265,May,3,Movie,Mobile,UK,73278864,224253961.79184276
2266,Mar,4,Series,Smart Tv,Australia,78506506,229134734.5867136
2267,Mar,1,Tv Show,Smart Tv,Japan,78366909,237065088.73407564
2268,Aug,4,Tv Show,Smart Tv,South Korea,78506837,229656540.76792997
2269,Apr,3,Movie,Tablet,Germany,79364773,227208820.1771621
2270,Feb,2,Movie,Smart Tv,Japan,78322465,220816806.3587295
2271,Oct,5,Movie,Mobile,Canada,70665666,225120494.55077082
2272,Nov,2,Movie,Smart Tv,Canada,71675101,222326104.10416952
2273,Oct,2,Series,Tablet,India,72401171,223717298.95045128
2274,Nov,5,Series,Smart Tv,South Korea,76894820,224956280.84574652
2275,Oct,4,Series,Tablet,Australia,73273664,228188712.69794995
2276,Mar,5,Series,Smart Tv,Brazil,73287958,231026778.2565334
2277,Jul,2,Movie,Smart Tv,France,75722172,220345034.3088377
2278,Jul,1,Tv Show,Smart Tv,Germany,70828455,231805652.70996553
2279,Dec,3,Series,Mobile,Brazil,76790466,227128438.07628825
2280,Jul,2,Series,Smart Tv,India,74583421,227057362.50656438
2281,May,1,Movie,Smart Tv,Brazil,73377062,224295306.02870515
2282,Jul,4,Movie,Smart Tv,Japan,75086954,225529981.52611098
2283,Oct,4,Movie,Tablet,India,74763065,234361567.39908168
2284,Apr,3,Series,Mobile,Japan,72690665,230533937.26339602
2285,Aug,4,Series,Smart Tv,Japan,73764611,233755475.0796341
2286,Apr,1,Series,Tablet,South Korea,78834265,239208355.9329646
2287,May,4,Tv Show,Tablet,South Korea,72860353,239568819.088353
2288,Sep,5,Tv Show,Tablet,India,74145482,232235678.9271349
2289,Dec,4,Series,Smart Tv,Australia,71402348,226835214.60268867
2290,Dec,1,Movie,Mobile,Japan,72418922,239856021.52749747
2291,Feb,4,Movie,Mobile,USA,74913157,233864426.98793197
2292,Nov,2,Series,Mobile,Japan,75387664,220152411.77665377
2293,Feb,2,Movie,Mobile,India,73675455,238810137.3337832
2294,Dec,4,Movie,Tablet,India,79792092,221621203.2356674
2295,Mar,3,Series,Mobile,Canada,71778897,239298929.91313115
2296,Nov,4,Movie,Mobile,USA,75489714,232393409.834108
2297,Oct,3,Movie,Tablet,UK,73166218,229929566.64446276
2298,Feb,3,Series,Smart Tv,France,78418222,225733068.76528415
2299,Oct,1,Series,Mobile,Canada,76682979,229101968.84946516
2300,Nov,1,Movie,Tablet,Japan,70578066,236411054.72595373
2301,Mar,4,Movie,Smart Tv,Australia,70527045,227612729.96934217
2302,Mar,2,Tv Show,Smart Tv,South Korea,78676007,239122867.81675854
2303,Mar,3,Series,Mobile,South Korea,79847889,226317318.7125434
2304,Feb,3,Series,Smart Tv,India,74027668,221542394.21040618
2305,May,4,Movie,Mobile,Australia,74424958,236347508.12585387
2306,Aug,5,Movie,Smart Tv,France,73625541,236245364.5770725
2307,Oct,5,Series,Tablet,South Korea,70922527,231933135.2240132
2308,Aug,3,Movie,Mobile,Germany,78756826,220533379.28022447
2309,Apr,2,Movie,Smart Tv,UK,72812880,221358414.79734427
2310,Dec,3,Movie,Mobile,South Korea,74182589,224308723.3617028
2311,Nov,2,Tv Show,Tablet,India,71792650,221187589.09313986
2312,Dec,2,Movie,Mobile,Australia,70344126,228288347.5510683
2313,Jul,3,Movie,Smart Tv,France,79917802,221282590.35429668
2314,May,3,Tv Show,Smart Tv,Brazil,79061005,220143980.453101
2315,Nov,4,Tv Show,Mobile,Australia,71826310,220398724.19652897
2316,Jun,5,Movie,Smart Tv,Canada,77106987,229686605.4223642
2317,Dec,3,Movie,Tablet,Japan,78084288,236711724.68690342
2318,Jul,4,Movie,Tablet,India,77202562,227643968.66601926
2319,Dec,4,Tv Show,Tablet,Australia,70488926,230379100.92908534
2320,Dec,1,Series,Tablet,Brazil,75097559,238680020.02522936
2321,Feb,2,Series,Tablet,Australia,73576358,236310775.32805315
2322,Sep,2,Tv Show,Mobile,Brazil,71152543,229854683.73717403
2323,Sep,2,Movie,Mobile,Australia,73221639,225315446.95857885
2324,Jan,4,Movie,Tablet,Australia,78066854,229466813.6691138
2325,Jul,3,Tv Show,Mobile,South Korea,75070861,237213292.2973078
2326,Sep,1,Tv Show,Tablet,Brazil,76471463,223750278.7667306
2327,Jan,2,Movie,Mobile,Canada,74726539,225349994.5909142
2328,May,3,Series,Tablet,USA,79822130,220540629.51406735
2329,Apr,1,Tv Show,Smart Tv,USA,78875270,228242339.0233047
2330,Feb,3,Movie,Tablet,South Korea,74724550,228592101.24802396
2331,Feb,1,Series,Smart Tv,Germany,72682323,223031975.89298463
2332,Sep,1,Series,Tablet,Japan,75380601,226517332.34412986
2333,Nov,5,Movie,Tablet,Germany,75101350,235533514.3411974
2334,Jul,4,Movie,Smart Tv,South Korea,73515245,230214660.45542458
2335,Apr,2,Tv Show,Smart Tv,Japan,72197743,223361262.7310306
2336,Aug,1,Movie,Smart Tv,Australia,79324555,220542495.9086093
2337,Jul,1,Series,Mobile,Germany,73891980,221688874.54149345
2338,Sep,5,Tv Show,Smart Tv,Canada,74413612,236978433.766937
2339,Nov,1,Series,Tablet,Germany,72655479,227662038.74404907
2340,Oct,5,Tv Show,Mobile,South Korea,70421964,228845444.0748611
2341,May,3,Tv Show,Smart Tv,Germany,71283407,230003034.40465707
2342,Oct,4,Movie,Tablet,France,76785112,235951682.344206
2343,Oct,3,Tv Show,Smart Tv,UK,70674627,239186930.5884981
2344,Jan,1,Tv Show,Mobile,Germany,73007944,220459191.12092105
2345,Jul,4,Movie,Mobile,France,72708350,232616912.85548708
2346,Feb,3,Series,Mobile,Canada,71872843,225555287.91132507
2347,Apr,1,Series,Tablet,Japan,72818477,228924893.68210545
2348,Jan,1,Movie,Tablet,Canada,79000119,238825716.98035192
2349,Feb,3,Series,Smart Tv,Australia,76818089,226221882.3780891
2350,Jun,2,Movie,Mobile,Canada,78640254,226357315.98839623
2351,Apr,2,Movie,Mobile,USA,70019174,220437420.72842914
2352,Apr,2,Tv Show,Mobile,France,75874389,235120868.25474042
2353,May,2,Movie,Tablet,Australia,75218061,235928656.58965594
2354,Jan,3,Series,Tablet,Germany,72178176,234864726.11687848
2355,Jul,5,Series,Tablet,Japan,71149049,236664349.76626316
2356,Sep,1,Movie,Smart Tv,France,72151934,226526697.44297728
2357,Jun,2,Movie,Mobile,Germany,75289736,238163834.1275317
2358,Mar,4,Tv Show,Smart Tv,Germany,70715358,222076396.51156005
2359,Oct,1,Movie,Mobile,USA,78564733,231154071.5671811
2360,Jul,2,Series,Mobile,USA,76833222,228850960.94323727
2361,Aug,3,Movie,Tablet,UK,73693933,234937388.99654865
2362,Sep,1,Series,Mobile,UK,79457095,236472154.57876816
2363,Jan,3,Series,Smart Tv,Brazil,74997353,225596255.36062285
2364,Nov,4,Series,Smart Tv,France,71686579,232265558.83989027
2365,Jan,1,Movie,Tablet,Australia,75526219,228477706.034139
2366,Dec,3,Series,Tablet,France,76595801,221980152.0110903
2367,Apr,4,Series,Smart Tv,Brazil,75927555,223618246.41102588
2368,Jul,3,Series,Smart Tv,Australia,70311938,226432999.31260645
2369,Sep,1,Series,Mobile,USA,73227084,222088313.80383936
2370,Jul,5,Series,Tablet,Japan,77997521,233186412.56316483
2371,Dec,3,Movie,Tablet,UK,74738312,228571545.29958248
2372,Oct,4,Series,Tablet,UK,78949553,234688408.76758817
2373,Dec,5,Tv Show,Smart Tv,USA,70500792,235401564.44039446
2374,Aug,3,Series,Mobile,India,70124707,239085198.51595247
2375,Nov,4,Movie,Smart Tv,South Korea,76312960,228800648.9273393
2376,Feb,2,Movie,Smart Tv,France,72514817,231281377.01861477
2377,Jul,4,Movie,Smart Tv,Australia,74430170,226270788.92206067
2378,Aug,4,Tv Show,Tablet,France,73517727,226564431.00174877
2379,May,5,Series,Smart Tv,Brazil,75822785,220049510.50556117
2380,Aug,5,Tv Show,Mobile,Germany,70976102,226526748.91529495
2381,Jun,2,Tv Show,Tablet,Australia,77807924,223540413.02397838
2382,Oct,5,Tv Show,Tablet,India,78411757,230162640.83329517
2383,Jan,3,Movie,Smart Tv,Brazil,76710522,239125202.5640028
2384,Dec,4,Movie,Smart Tv,Germany,72612244,234932633.47878578
2385,Nov,1,Tv Show,Mobile,Brazil,72589795,227073526.8390221
2386,May,2,Series,Tablet,Germany,79250110,223383170.57612866
2387,Mar,3,Tv Show,Smart Tv,Brazil,74517755,238155801.6922697
2388,Dec,3,Movie,Tablet,South Korea,71722352,235444187.4289057
2389,Jan,3,Tv Show,Smart Tv,Australia,73064319,221265622.114544
2390,Aug,4,Series,Smart Tv,Germany,75736413,235600528.03865904
2391,Mar,5,Tv Show,Mobile,Canada,78033946,226163007.01433516
2392,Apr,4,Series,Smart Tv,Japan,75322250,228784710.3416236
2393,Aug,2,Series,Mobile,Brazil,71941735,233970080.20387137
2394,Oct,5,Movie,Smart Tv,UK,70911120,222453514.9905115
2395,Dec,2,Tv Show,Smart Tv,Germany,78734702,234474093.19710335
2396,Jun,4,Movie,Tablet,Canada,77966483,221616828.0109169
2397,Jan,4,Movie,Smart Tv,Canada,78249298,238428942.83695254
2398,Oct,2,Movie,Mobile,South Korea,79784711,224222009.59499833
2399,Dec,4,Series,Tablet,Germany,71520814,220826190.82441813
2400,Jul,3,Movie,Mobile,Japan,79704159,231109607.2590765
2401,May,1,Series,Mobile,France,77445344,228595273.15189487
2402,Jul,1,Series,Tablet,USA,74782338,225980324.27012008
2403,May,2,Movie,Tablet,Japan,72307452,222015841.02842477
2404,May,2,Movie,Mobile,Brazil,77482772,239329490.26920262
2405,Nov,3,Tv Show,Mobile,UK,71959442,236371605.81968474
2406,Oct,5,Series,Smart Tv,France,71195014,220370789.43304908
2407,Feb,1,Series,Mobile,India,74934389,238068130.42492998
2408,Jul,5,Movie,Smart Tv,India,79883020,232953186.21981338
2409,Dec,4,Series,Tablet,India,71918359,229111474.58604172
2410,Aug,1,Tv Show,Smart Tv,UK,75289585,226532352.15555283
2411,Jan,4,Series,Smart Tv,India,75469468,226353320.06135878
2412,Jan,3,Tv Show,Tablet,South Korea,72983571,224211770.2088926
2413,Nov,4,Movie,Mobile,Canada,74415352,225591654.0148449
2414,Jun,2,Series,Smart Tv,India,79424154,229731464.71960372
2415,Feb,1,Tv Show,Tablet,France,75695375,221518389.62754935
2416,Apr,3,Movie,Smart Tv,Canada,78232037,238335335.3800176
2417,Jul,4,Movie,Tablet,UK,79487392,224751180.9639841
2418,Dec,4,Tv Show,Smart Tv,USA,77125448,227643887.06291306
2419,Apr,5,Tv Show,Tablet,India,78490173,236370408.26680067
2420,Nov,3,Series,Mobile,USA,70961269,237483275.31142393
2421,Mar,1,Series,Mobile,Canada,73624922,225480710.36615413
